dataset_id,dataset_name,fold,estimator,n_train,n_test,n_original_features,accuracy,f1,auroc,fit_time,predict_time
17,Breast Cancer Wisconsin (Diagnostic),1,RandomFuzzyRules__sampling__n1_l2,512,57,30,0.9473684210526315,0.9361702127659575,0.9974025974025974,0.07746790000237525,0.0002981999423354864
17,Breast Cancer Wisconsin (Diagnostic),1,RandomFuzzyRules__sampling__n2_l1,512,57,30,0.9473684210526315,0.9333333333333332,0.9935064935064934,0.07403169991448522,0.00024359999224543571
17,Breast Cancer Wisconsin (Diagnostic),1,RandomFuzzyRules__sampling__n2_l2,512,57,30,0.9473684210526315,0.9333333333333332,0.996103896103896,0.071368100005202,0.00034419994335621595
17,Breast Cancer Wisconsin (Diagnostic),2,RandomFuzzyRules__sampling__n1_l1,512,57,30,0.9122807017543859,0.8936170212765958,0.9831168831168832,0.08864449989050627,0.0003119000466540456
17,Breast Cancer Wisconsin (Diagnostic),2,RandomFuzzyRules__sampling__n1_l2,512,57,30,0.8947368421052632,0.88,0.9558441558441557,0.08042460004799068,0.0004940000362694263
17,Breast Cancer Wisconsin (Diagnostic),2,RandomFuzzyRules__sampling__n2_l1,512,57,30,0.9649122807017544,0.9565217391304348,1.0,0.08717060007620603,0.00031999999191612005
17,Breast Cancer Wisconsin (Diagnostic),2,RandomFuzzyRules__sampling__n2_l2,512,57,30,0.9649122807017544,0.9565217391304348,0.9987012987012986,0.07887339999433607,0.0003212000010535121
17,Breast Cancer Wisconsin (Diagnostic),3,RandomFuzzyRules__sampling__n1_l1,512,57,30,0.9824561403508771,0.975609756097561,0.9986772486772486,0.08240909990854561,0.00033920002169907093
17,Breast Cancer Wisconsin (Diagnostic),3,RandomFuzzyRules__sampling__n1_l2,512,57,30,0.9824561403508771,0.975609756097561,1.0,0.08083460002671927,0.00033760000951588154
17,Breast Cancer Wisconsin (Diagnostic),3,RandomFuzzyRules__sampling__n2_l1,512,57,30,0.9473684210526315,0.923076923076923,1.0,0.07535399997141212,0.00031849998049438
17,Breast Cancer Wisconsin (Diagnostic),3,RandomFuzzyRules__sampling__n2_l2,512,57,30,0.9824561403508771,0.975609756097561,1.0,0.06923180003650486,0.00023610005155205727
17,Breast Cancer Wisconsin (Diagnostic),4,RandomFuzzyRules__sampling__n1_l1,512,57,30,0.8070175438596491,0.6666666666666667,0.906084656084656,0.09540719992946833,0.00025580008514225483
17,Breast Cancer Wisconsin (Diagnostic),4,RandomFuzzyRules__sampling__n1_l2,512,57,30,0.9122807017543859,0.8717948717948718,0.9814814814814815,0.08123110001906753,0.00032220000866800547
17,Breast Cancer Wisconsin (Diagnostic),4,RandomFuzzyRules__sampling__n2_l1,512,57,30,0.9298245614035088,0.8947368421052632,0.9841269841269842,0.07212729996535927,0.0003491000970825553
17,Breast Cancer Wisconsin (Diagnostic),4,RandomFuzzyRules__sampling__n2_l2,512,57,30,0.8947368421052632,0.8421052631578947,0.9735449735449736,0.07199289998970926,0.0003372998908162117
17,Breast Cancer Wisconsin (Diagnostic),5,RandomFuzzyRules__sampling__n1_l1,512,57,30,0.9298245614035088,0.9047619047619048,0.9272486772486772,0.08594020002055913,0.00028060004115104675
17,Breast Cancer Wisconsin (Diagnostic),5,RandomFuzzyRules__sampling__n1_l2,512,57,30,0.9473684210526315,0.9268292682926829,0.9391534391534392,0.12150360003579408,0.00033930002246052027
