dataset_name,repeat_id,fold_id,fold,n_expected_folds,estimator,n_train,n_test,n_original_features,n_transformed_features,accuracy,balanced_accuracy,auroc,mcc,fit_time,predict_time,n_rules,n_conditions,mean_conditions_per_rule,n_literals,mean_literals_per_rule
hepatitis_survival_prediction,5,1,17,60,RandomFuzzyRules__max_sampling_attempts__100000,103,52,19,32,0.7884615384615384,0.5332594235033259,0.3968957871396896,0.14126448280440332,0.01499465061351657,0.00014656782150268555,,,,,
hepatitis_survival_prediction,5,1,17,60,RandomFuzzyRules__max_sampling_attempts__1000000,103,52,19,32,0.7884615384615384,0.5332594235033259,0.3968957871396896,0.14126448280440332,0.01457185484468937,0.0001426786184310913,,,,,
hepatitis_survival_prediction,5,2,18,60,RandomFuzzyRules__max_sampling_attempts__20000,104,51,19,32,0.7843137254901961,0.6390243902439025,0.6341463414634148,0.28957897267750127,0.014672113582491875,0.00015188800171017647,,,,,
hepatitis_survival_prediction,5,2,18,60,RandomFuzzyRules__max_sampling_attempts__100000,104,51,19,32,0.7843137254901961,0.6390243902439025,0.6341463414634148,0.28957897267750127,0.014785753097385168,0.00014315778389573097,,,,,
hepatitis_survival_prediction,5,2,18,60,RandomFuzzyRules__max_sampling_attempts__1000000,104,51,19,32,0.7843137254901961,0.6390243902439025,0.6341463414634148,0.28957897267750127,0.014831661712378263,0.00014827819541096687,,,,,
hepatitis_survival_prediction,6,0,19,60,RandomFuzzyRules__max_sampling_attempts__20000,103,52,19,32,0.7692307692307693,0.5543237250554324,0.40465631929046564,0.150512953502523,0.014862192794680595,0.00014311913400888443,,,,,
hepatitis_survival_prediction,6,0,19,60,RandomFuzzyRules__max_sampling_attempts__100000,103,52,19,32,0.7692307692307693,0.5543237250554324,0.40465631929046564,0.150512953502523,0.014511446002870798,0.0001422390341758728,,,,,
hepatitis_survival_prediction,6,0,19,60,RandomFuzzyRules__max_sampling_attempts__1000000,103,52,19,32,0.7692307692307693,0.5543237250554324,0.40465631929046564,0.150512953502523,0.01484704203903675,0.0001461380161345005,,,,,
hepatitis_survival_prediction,6,1,20,60,RandomFuzzyRules__max_sampling_attempts__20000,103,52,19,32,0.7884615384615384,0.5665188470066519,0.7073170731707318,0.2038977179351388,0.014891461934894323,0.00014363834634423256,,,,,
hepatitis_survival_prediction,6,1,20,60,RandomFuzzyRules__max_sampling_attempts__100000,103,52,19,32,0.7884615384615384,0.5665188470066519,0.7073170731707318,0.2038977179351388,0.014863291289657354,0.0001345979981124401,,,,,
hepatitis_survival_prediction,6,1,20,60,RandomFuzzyRules__max_sampling_attempts__1000000,103,52,19,32,0.7884615384615384,0.5665188470066519,0.7073170731707318,0.2038977179351388,0.014708043076097965,0.00014768866822123528,,,,,
hepatitis_survival_prediction,6,2,21,60,RandomFuzzyRules__max_sampling_attempts__20000,104,51,19,32,0.803921568627451,0.6134146341463415,0.8951219512195122,0.279517586746904,0.014810672029852867,0.00014311913400888443,,,,,
