dataset_name,repeat_id,fold_id,fold,n_expected_folds,estimator,n_train,n_test,n_original_features,n_transformed_features,accuracy,fit_time,predict_time
aps_failure,1,0,4,9,RandomFuzzyRules__sampling__n1_l2,50666,25334,170,170,0.9838162153627537,1.066446325974539,0.02519079204648733
aps_failure,1,0,4,9,RandomFuzzyRules__sampling__n2_l1,50666,25334,170,170,0.9834609615536434,1.296707889996469,0.02570293704047799
aps_failure,1,0,4,9,RandomFuzzyRules__sampling__n2_l2,50666,25334,170,170,0.9836583247809269,1.0459099658764899,0.022192422999069095
aps_failure,1,1,5,9,RandomFuzzyRules__sampling__n1_l1,50667,25333,170,170,0.983578731299096,1.4018586119636893,0.012197844916954637
aps_failure,1,1,5,9,RandomFuzzyRules__sampling__n1_l2,50667,25333,170,170,0.9834208344846642,1.078527692006901,0.012401353102177382
aps_failure,1,1,5,9,RandomFuzzyRules__sampling__n2_l1,50667,25333,170,170,0.9831839892630166,1.2951567838899791,0.012461791979148984
aps_failure,1,1,5,9,RandomFuzzyRules__sampling__n2_l2,50667,25333,170,170,0.9833418860774484,1.066303445957601,0.013551330892369151
aps_failure,1,2,6,9,RandomFuzzyRules__sampling__n1_l1,50667,25333,170,170,0.9836971539099199,1.4561050040647388,0.024407370015978813
aps_failure,1,2,6,9,RandomFuzzyRules__sampling__n1_l2,50667,25333,170,170,0.9839339991315675,1.0670005970168859,0.024903315119445324
aps_failure,1,2,6,9,RandomFuzzyRules__sampling__n2_l1,50667,25333,170,170,0.9834208344846642,1.301255467813462,0.025512159103527665
aps_failure,1,2,6,9,RandomFuzzyRules__sampling__n2_l2,50667,25333,170,170,0.9832629376702325,1.049579295096919,0.02447460894472897
aps_failure,2,0,7,9,RandomFuzzyRules__sampling__n1_l1,50666,25334,170,170,0.9835399068445567,1.399691958911717,0.014089466072618961
aps_failure,2,0,7,9,RandomFuzzyRules__sampling__n1_l2,50666,25334,170,170,0.9834609615536434,1.0615107407793403,0.014112445991486311
aps_failure,2,0,7,9,RandomFuzzyRules__sampling__n2_l1,50666,25334,170,170,0.9835399068445567,1.289972600992769,0.011968326987698674
aps_failure,2,0,7,9,RandomFuzzyRules__sampling__n2_l2,50666,25334,170,170,0.9836977974263835,1.0544776620808989,0.013111066073179245
aps_failure,2,1,8,9,RandomFuzzyRules__sampling__n1_l1,50667,25333,170,170,0.9833813602810564,1.4232237651012838,0.0259516139049083
aps_failure,2,1,8,9,RandomFuzzyRules__sampling__n1_l2,50667,25333,170,170,0.9836576797063119,1.069665675982833,0.02661599707789719
aps_failure,2,1,8,9,RandomFuzzyRules__sampling__n2_l1,50667,25333,170,170,0.9834997828918801,1.288441525073722,0.02518160198815167
aps_failure,2,1,8,9,RandomFuzzyRules__sampling__n2_l2,50667,25333,170,170,0.9832629376702325,1.0571949330624193,0.02688054507598281
aps_failure,2,2,9,9,RandomFuzzyRules__sampling__n1_l1,50667,25333,170,170,0.9830260924485849,1.3990676999092102,0.012054405873641372
aps_failure,2,2,9,9,RandomFuzzyRules__sampling__n1_l2,50667,25333,170,170,0.9831839892630166,1.0739871091209352,0.012440451886504889
aps_failure,2,2,9,9,RandomFuzzyRules__sampling__n2_l1,50667,25333,170,170,0.9827892472269372,1.2914481810294092,0.012362723937258124
aps_failure,2,2,9,9,RandomFuzzyRules__sampling__n2_l2,50667,25333,170,170,0.9824339793944658,1.043707987992093,0.01237430376932025
bank_marketing,0,0,1,9,RandomFuzzyRules__sampling__n1_l1,30140,15071,13,120,0.893902196270984,0.16129859816282988,0.0033810848835855722
bank_marketing,0,0,1,9,RandomFuzzyRules__sampling__n1_l2,30140,15071,13,120,0.893902196270984,0.15401375200599432,0.003485593944787979
bank_marketing,0,0,1,9,RandomFuzzyRules__sampling__n2_l1,30140,15071,13,120,0.8939685488686883,0.14433757192455232,0.0033216059673577547
bank_marketing,0,0,1,9,RandomFuzzyRules__sampling__n2_l2,30140,15071,13,120,0.8938358436732798,0.1387824979610741,0.003405594965443015
bank_marketing,0,1,2,9,RandomFuzzyRules__sampling__n1_l1,30141,15070,13,115,0.8937624419376244,0.17541212309151888,0.003272256115451455
bank_marketing,0,1,2,9,RandomFuzzyRules__sampling__n1_l2,30141,15070,13,115,0.8938951559389515,0.15054497797973454,0.0033797351643443108
bank_marketing,0,1,2,9,RandomFuzzyRules__sampling__n2_l1,30141,15070,13,115,0.8937624419376244,0.14061032910831273,0.003223926993086934
bank_marketing,0,1,2,9,RandomFuzzyRules__sampling__n2_l2,30141,15070,13,115,0.8935633709356338,0.14033619198016822,0.0032964060083031654
bank_marketing,0,2,3,9,RandomFuzzyRules__sampling__n1_l1,30141,15070,13,120,0.8909754479097545,0.16068765404634178,0.008340975036844611
bank_marketing,0,2,3,9,RandomFuzzyRules__sampling__n1_l2,30141,15070,13,120,0.8909754479097545,0.1530643319711089,0.008429804118350148
bank_marketing,0,2,3,9,RandomFuzzyRules__sampling__n2_l1,30141,15070,13,120,0.8911745189117452,0.1426688979845494,0.008393573807552457
bank_marketing,0,2,3,9,RandomFuzzyRules__sampling__n2_l2,30141,15070,13,120,0.8910418049104181,0.13596293702721596,0.008599882014095783
bank_marketing,1,0,4,9,RandomFuzzyRules__sampling__n1_l1,30140,15071,13,120,0.8939685488686883,0.15858203498646617,0.0034717549569904804
bank_marketing,1,0,4,9,RandomFuzzyRules__sampling__n1_l2,30140,15071,13,120,0.893902196270984,0.1547779340762645,0.0035387438256293535
bank_marketing,1,0,4,9,RandomFuzzyRules__sampling__n2_l1,30140,15071,13,120,0.8937694910755756,0.143032985040918,0.0034668240696191788
bank_marketing,1,0,4,9,RandomFuzzyRules__sampling__n2_l2,30140,15071,13,120,0.8935040806847588,0.13867569901049137,0.003486114088445902
bank_marketing,1,1,5,9,RandomFuzzyRules__sampling__n1_l1,30141,15070,13,119,0.8919044459190445,0.17428083415143192,0.008539572125300765
bank_marketing,1,1,5,9,RandomFuzzyRules__sampling__n1_l2,30141,15070,13,119,0.8917053749170537,0.20994883798994124,0.008071356918662786
bank_marketing,1,1,5,9,RandomFuzzyRules__sampling__n2_l1,30141,15070,13,119,0.8921035169210352,0.14107026509009302,0.00848577287979424
bank_marketing,1,1,5,9,RandomFuzzyRules__sampling__n2_l2,30141,15070,13,119,0.8919044459190445,0.1401605641003698,0.008387934183701873
bank_marketing,1,2,6,9,RandomFuzzyRules__sampling__n1_l1,30141,15070,13,117,0.8928334439283344,0.16060007479973137,0.0032733860425651073
bank_marketing,1,2,6,9,RandomFuzzyRules__sampling__n1_l2,30141,15070,13,117,0.8927670869276708,0.1506055968347937,0.0033779458608478308
bank_marketing,1,2,6,9,RandomFuzzyRules__sampling__n2_l1,30141,15070,13,117,0.8927670869276708,0.1429609649349004,0.003409595927223563
bank_marketing,1,2,6,9,RandomFuzzyRules__sampling__n2_l2,30141,15070,13,117,0.8927670869276708,0.140133174136281,0.003299145959317684
bank_marketing,2,0,7,9,RandomFuzzyRules__sampling__n1_l1,30140,15071,13,116,0.8923097339260833,0.16455708490684628,0.008173646871000528
bank_marketing,2,0,7,9,RandomFuzzyRules__sampling__n1_l2,30140,15071,13,116,0.8923097339260833,0.15017868112772703,0.008459122851490974
bank_marketing,2,0,7,9,RandomFuzzyRules__sampling__n2_l1,30140,15071,13,116,0.8923760865237874,0.1414036110509187,0.008364513982087374
bank_marketing,2,0,7,9,RandomFuzzyRules__sampling__n2_l2,30140,15071,13,116,0.892243381328379,0.13936159200966358,0.008366293972358108
bank_marketing,2,1,8,9,RandomFuzzyRules__sampling__n1_l1,30141,15070,13,118,0.8954213669542137,0.1584474358242005,0.0034704850986599922
bank_marketing,2,1,8,9,RandomFuzzyRules__sampling__n1_l2,30141,15070,13,118,0.8946250829462509,0.15205963188782334,0.003582403063774109
bank_marketing,2,1,8,9,RandomFuzzyRules__sampling__n2_l1,30141,15070,13,118,0.8954877239548772,0.14792165393009782,0.0034693439956754446
bank_marketing,2,1,8,9,RandomFuzzyRules__sampling__n2_l2,30141,15070,13,118,0.8946250829462509,0.14425394195131958,0.0035008438862860203
