dataset_name,estimator,n_rules,n_conditions,mean_conditions_per_rule,n_literals,mean_literals_per_rule,completed_folds,n_expected_folds
gallstone_disease,RFR,1.7833333333333334,3.15,1.775,3.15,1.775,60,60
hazelnut_spread_contaminant_detection,GPR,1.0,2.0,2.0,2.066666666666667,2.066666666666667,30,30
hazelnut_spread_contaminant_detection,RFR,1.0,2.0,2.0,2.0,2.0,30,30
heart_disease_hungary,GPR,3.783333333333333,9.933333333333334,2.5866666666666664,10.483333333333333,2.7258333333333336,60,60
heart_disease_hungary,RFR,1.25,2.05,1.7666666666666666,2.05,1.7666666666666666,60,60
heart_disease_va_long_beach,GPR,4.9,12.416666666666666,2.466944444444444,12.883333333333333,2.558333333333333,60,60
heart_disease_va_long_beach,RFR,1.85,2.1666666666666665,1.1583333333333334,2.1666666666666665,1.1583333333333334,60,60
heloc,GPR,1.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,2.3333333333333335,9,9
heloc,RFR,1.0,2.0,2.0,2.0,2.0,9,9
hiva_agnostic,GPR,1.2222222222222223,4.111111111111111,3.4444444444444446,4.555555555555555,3.888888888888889,9,9
hiva_agnostic,RFR,1.2222222222222223,2.111111111111111,1.7777777777777777,2.111111111111111,1.7777777777777777,9,9
home_credit_default_risk,GPR,1.0,3.2222222222222223,3.2222222222222223,3.5555555555555554,3.5555555555555554,9,9
home_credit_default_risk,RFR,1.0,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,9,9
hotel_booking_demand,GPR,2.7777777777777777,6.777777777777778,2.3333333333333335,6.777777777777778,2.3333333333333335,9,9
hotel_booking_demand,RFR,2.0,3.0,1.5,3.0,1.5,9,9
hr_analytics,GPR,2.3333333333333335,4.777777777777778,1.9555555555555557,4.777777777777778,1.9555555555555557,9,9
hr_analytics,RFR,1.3333333333333333,1.6666666666666667,1.1666666666666667,1.6666666666666667,1.1666666666666667,9,9
ieee_fraud_detection,GPR,2.0,3.6666666666666665,1.7777777777777777,3.6666666666666665,1.7777777777777777,3,3
ieee_fraud_detection,RFR,2.0,3.0,1.5,3.0,1.5,3,3
in_vehicle_coupon_recommendation,GPR,1.0,1.0,1.0,1.0,1.0,9,9
in_vehicle_coupon_recommendation,RFR,1.1111111111111112,1.2222222222222223,1.0555555555555556,1.2222222222222223,1.0555555555555556,9,9
kdd_cup_09_appetency,GPR,1.0,4.222222222222222,4.222222222222222,4.222222222222222,4.222222222222222,9,9
kdd_cup_09_appetency,RFR,1.1111111111111112,1.4444444444444444,1.2222222222222223,1.4444444444444444,1.2222222222222223,9,9
kick,GPR,1.1111111111111112,2.888888888888889,2.4444444444444446,3.0,2.5,9,9
kick,RFR,1.0,2.0,2.0,2.0,2.0,9,9
labour_inspection_compliance,GPR,3.6666666666666665,9.222222222222221,2.388888888888889,9.555555555555555,2.5555555555555554,9,9
labour_inspection_compliance,RFR,1.3333333333333333,2.0,1.4444444444444444,2.0,1.4444444444444444,9,9
lending_club,GPR,2.0,3.0,1.5,3.0,1.5,1,1
lending_club,RFR,1.0,1.0,1.0,1.0,1.0,1,1
polish_companies_bankruptcy,GPR,2.3333333333333335,5.555555555555555,2.111111111111111,5.666666666666667,2.138888888888889,9,9
polish_companies_bankruptcy,RFR,2.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,1.3333333333333333,9,9
porto_seguro,GPR,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3,3
porto_seguro,RFR,1.0,2.0,2.0,2.0,2.0,3,3
prostate_cancer_detection,GPR,1.5666666666666667,4.633333333333334,2.836111111111111,4.983333333333333,3.05,60,60
prostate_cancer_detection,RFR,1.0166666666666666,1.85,1.8166666666666667,1.85,1.8166666666666667,60,60
qsar_biodeg,GPR,1.7,5.1,2.961111111111111,5.666666666666667,3.2666666666666666,30,30
qsar_biodeg,RFR,1.6,3.2,2.0,3.2,2.0,30,30
regensburg_pediatric_appendicitis,GPR,3.7666666666666666,9.033333333333333,2.4027777777777777,9.3,2.469444444444444,30,30
regensburg_pediatric_appendicitis,RFR,1.1,1.3333333333333333,1.1833333333333333,1.3333333333333333,1.1833333333333333,30,30
santander_customer_satisfaction,GPR,1.0,3.0,3.0,3.2222222222222223,3.2222222222222223,9,9
santander_customer_satisfaction,RFR,1.1111111111111112,1.3333333333333333,1.1111111111111112,1.3333333333333333,1.1111111111111112,9,9
seismic_bumps,GPR,1.0,2.6666666666666665,2.6666666666666665,3.066666666666667,3.066666666666667,30,30
seismic_bumps,RFR,1.0,2.0,2.0,2.0,2.0,30,30
taiwanese_bankruptcy_prediction,GPR,2.5555555555555554,4.888888888888889,1.8888888888888888,5.0,1.9444444444444444,9,9
taiwanese_bankruptcy_prediction,RFR,1.4444444444444444,2.0,1.3888888888888888,2.0,1.3888888888888888,9,9
thyroid_discordant,GPR,4.666666666666667,8.466666666666667,1.6333333333333333,8.5,1.6388888888888888,30,30
thyroid_discordant,RFR,1.7,1.7,1.0,1.7,1.0,30,30
tour_travels_churn,GPR,3.0,10.0,3.3333333333333335,10.933333333333334,3.6444444444444444,30,30
tour_travels_churn,RFR,1.0,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,30,30
