study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
samples,1024,1,HSTree,1024,70,60,10,100,,0.02878473000600934,0.02878473000600934,ok
samples,1024,1,GreedyRuleList,1024,70,60,10,100,,0.015013172989711165,0.015013172989711165,ok
samples,1024,2,RFR,1024,70,60,10,100,1000,0.013469021068885922,0.013469021068885922,ok
samples,1024,2,GPR,1024,70,60,10,100,,0.45203339611180127,0.6668934209737927,ok
samples,1024,2,FIGS,1024,70,60,10,100,,0.4869630141183734,0.4869630141183734,ok
samples,1024,2,HSTree,1024,70,60,10,100,,0.0292871140409261,0.0292871140409261,ok
samples,1024,2,GreedyRuleList,1024,70,60,10,100,,0.01551514700986445,0.01551514700986445,ok
samples,1024,3,RFR,1024,70,60,10,100,1000,0.013479080982506275,0.013479080982506275,ok
samples,1024,3,GPR,1024,70,60,10,100,,0.45653775287792087,0.6716968149412423,ok
samples,1024,3,FIGS,1024,70,60,10,100,,0.4139365558512509,0.4139365558512509,ok
samples,1024,3,HSTree,1024,70,60,10,100,,0.02972426894120872,0.02972426894120872,ok
samples,1024,3,GreedyRuleList,1024,70,60,10,100,,0.01740191411226988,0.01740191411226988,ok
samples,1024,4,RFR,1024,70,60,10,100,1000,0.013492570957168937,0.013492570957168937,ok
samples,1024,4,GPR,1024,70,60,10,100,,0.48181957588531077,0.6947872231248766,ok
samples,1024,4,FIGS,1024,70,60,10,100,,0.45275484886951745,0.45275484886951745,ok
samples,1024,4,HSTree,1024,70,60,10,100,,0.029731149086728692,0.029731149086728692,ok
samples,1024,4,GreedyRuleList,1024,70,60,10,100,,0.016586874146014452,0.016586874146014452,ok
samples,2048,0,RFR,2048,70,60,10,100,1000,0.028156787855550647,0.028156787855550647,ok
samples,2048,0,GPR,2048,70,60,10,100,,0.6172607378102839,0.8336638750042766,ok
samples,2048,0,FIGS,2048,70,60,10,100,,0.9942520710173994,0.9942520710173994,ok
samples,2048,0,HSTree,2048,70,60,10,100,,0.06265082000754774,0.06265082000754774,ok
samples,2048,0,GreedyRuleList,2048,70,60,10,100,,0.0308692860417068,0.0308692860417068,ok
samples,2048,1,RFR,2048,70,60,10,100,1000,0.028355664806440473,0.028355664806440473,ok
samples,2048,1,GPR,2048,70,60,10,100,,0.6051098329480737,0.8203729130327702,ok
samples,2048,1,FIGS,2048,70,60,10,100,,0.9664789100643247,0.9664789100643247,ok
samples,2048,1,HSTree,2048,70,60,10,100,,0.059841113863512874,0.059841113863512874,ok
samples,2048,1,GreedyRuleList,2048,70,60,10,100,,0.03398899897001684,0.03398899897001684,ok
samples,2048,2,RFR,2048,70,60,10,100,1000,0.028082248056307435,0.028082248056307435,ok
samples,2048,2,GPR,2048,70,60,10,100,,0.5309177380986512,0.746548785129562,ok
samples,2048,2,FIGS,2048,70,60,10,100,,1.0061368730384856,1.0061368730384856,ok
samples,2048,2,HSTree,2048,70,60,10,100,,0.061488385079428554,0.061488385079428554,ok
samples,2048,2,GreedyRuleList,2048,70,60,10,100,,0.02901077806018293,0.02901077806018293,ok
samples,2048,3,RFR,2048,70,60,10,100,1000,0.027981519931927323,0.027981519931927323,ok
samples,2048,3,GPR,2048,70,60,10,100,,0.5371510449331254,0.7503425509203225,ok
samples,2048,3,FIGS,2048,70,60,10,100,,0.9371706680394709,0.9371706680394709,ok
samples,2048,3,HSTree,2048,70,60,10,100,,0.062484563095495105,0.062484563095495105,ok
samples,2048,3,GreedyRuleList,2048,70,60,10,100,,0.0328809421043843,0.0328809421043843,ok
samples,2048,4,RFR,2048,70,60,10,100,1000,0.028165668016299605,0.028165668016299605,ok
samples,2048,4,GPR,2048,70,60,10,100,,0.49749028380028903,0.7135690047871321,ok
samples,2048,4,FIGS,2048,70,60,10,100,,1.0073099820874631,1.0073099820874631,ok
samples,2048,4,HSTree,2048,70,60,10,100,,0.06258812197484076,0.06258812197484076,ok
samples,2048,4,GreedyRuleList,2048,70,60,10,100,,0.026243050815537572,0.026243050815537572,ok
samples,4096,0,RFR,4096,70,60,10,100,1000,0.05913272313773632,0.05913272313773632,ok
samples,4096,0,GPR,4096,70,60,10,100,,0.6202267471235245,0.8385847019962966,ok
samples,4096,0,FIGS,4096,70,60,10,100,,2.212777051143348,2.212777051143348,ok
samples,4096,0,HSTree,4096,70,60,10,100,,0.12917673704214394,0.12917673704214394,ok
samples,4096,0,GreedyRuleList,4096,70,60,10,100,,0.06223368598148227,0.06223368598148227,ok
samples,4096,1,RFR,4096,70,60,10,100,1000,0.0575066520832479,0.0575066520832479,ok
samples,4096,1,GPR,4096,70,60,10,100,,0.6892314439173788,0.9050403700675815,ok
samples,4096,1,FIGS,4096,70,60,10,100,,2.25581647711806,2.25581647711806,ok
samples,4096,1,HSTree,4096,70,60,10,100,,0.12936855480074883,0.12936855480074883,ok
samples,4096,1,GreedyRuleList,4096,70,60,10,100,,0.06573162507265806,0.06573162507265806,ok
samples,4096,2,RFR,4096,70,60,10,100,1000,0.05717016593553126,0.05717016593553126,ok
samples,4096,2,GPR,4096,70,60,10,100,,0.6095433449372649,0.8265073469374329,ok
samples,4096,2,FIGS,4096,70,60,10,100,,2.3713174699805677,2.3713174699805677,ok
samples,4096,2,HSTree,4096,70,60,10,100,,0.13197729410603642,0.13197729410603642,ok
samples,4096,2,GreedyRuleList,4096,70,60,10,100,,0.06168264290317893,0.06168264290317893,ok
samples,4096,3,RFR,4096,70,60,10,100,1000,0.057016188045963645,0.057016188045963645,ok
samples,4096,3,GPR,4096,70,60,10,100,,0.6130090649239719,0.8299568188376725,ok
samples,4096,3,FIGS,4096,70,60,10,100,,2.271846376825124,2.271846376825124,ok
samples,4096,3,HSTree,4096,70,60,10,100,,0.1256373191718012,0.1256373191718012,ok
samples,4096,3,GreedyRuleList,4096,70,60,10,100,,0.06041324813850224,0.06041324813850224,ok
samples,4096,4,RFR,4096,70,60,10,100,1000,0.05856902990490198,0.05856902990490198,ok
samples,4096,4,GPR,4096,70,60,10,100,,0.6336943730711937,0.8508958928287029,ok
samples,4096,4,FIGS,4096,70,60,10,100,,2.066954836016521,2.066954836016521,ok
samples,4096,4,HSTree,4096,70,60,10,100,,0.1345622451044619,0.1345622451044619,ok
samples,4096,4,GreedyRuleList,4096,70,60,10,100,,0.05325959203764796,0.05325959203764796,ok
samples,8192,0,RFR,8192,70,60,10,100,1000,0.11703074118122458,0.11703074118122458,ok
samples,8192,0,GPR,8192,70,60,10,100,,0.8647835119627416,1.0812457709107548,ok
samples,8192,0,FIGS,8192,70,60,10,100,,4.219097557943314,4.219097557943314,ok
samples,8192,0,HSTree,8192,70,60,10,100,,0.2738641039468348,0.2738641039468348,ok
samples,8192,0,GreedyRuleList,8192,70,60,10,100,,0.13251593988388777,0.13251593988388777,ok
samples,8192,1,RFR,8192,70,60,10,100,1000,0.11677267402410507,0.11677267402410507,ok
samples,8192,1,GPR,8192,70,60,10,100,,0.8699836831074208,1.0862567650619894,ok
samples,8192,1,FIGS,8192,70,60,10,100,,4.275137022137642,4.275137022137642,ok
samples,8192,1,HSTree,8192,70,60,10,100,,0.2834292829502374,0.2834292829502374,ok
samples,8192,1,GreedyRuleList,8192,70,60,10,100,,0.12600555596873164,0.12600555596873164,ok
samples,8192,2,RFR,8192,70,60,10,100,1000,0.11704233102500439,0.11704233102500439,ok
samples,8192,2,GPR,8192,70,60,10,100,,1.0437099498230964,1.2614785959012806,ok
samples,8192,2,FIGS,8192,70,60,10,100,,4.272144621005282,4.272144621005282,ok
samples,8192,2,HSTree,8192,70,60,10,100,,0.27679884107783437,0.27679884107783437,ok
