study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
samples,2048,4,GPR,2048,70,60,10,100,,0.7745955000000322,1.4269995999999878,ok
samples,2048,4,FIGS,2048,70,60,10,100,,1.1583430000000021,1.1583430000000021,ok
samples,2048,4,RuleFit,2048,70,60,10,100,,4.610100000000045,4.610100000000045,ok
samples,2048,4,HSTree,2048,70,60,10,100,,0.07308679999999868,0.07308679999999868,ok
samples,2048,4,GreedyRuleList,2048,70,60,10,100,,0.0345414999999889,0.0345414999999889,ok
samples,4096,0,RFR,4096,70,60,10,100,10000,0.6189230000000521,0.6189230000000521,ok
samples,4096,0,GPR,4096,70,60,10,100,,0.9684043999999972,1.6235955999999874,ok
samples,4096,0,FIGS,4096,70,60,10,100,,2.3798835000000054,2.3798835000000054,ok
samples,4096,0,RuleFit,4096,70,60,10,100,,7.369937300000004,7.369937300000004,ok
samples,4096,0,HSTree,4096,70,60,10,100,,0.14878279999999222,0.14878279999999222,ok
samples,4096,0,GreedyRuleList,4096,70,60,10,100,,0.07409370000004856,0.07409370000004856,ok
samples,4096,1,RFR,4096,70,60,10,100,10000,0.6272862000000146,0.6272862000000146,ok
samples,4096,1,GPR,4096,70,60,10,100,,1.0519730999999979,1.749174499999981,ok
samples,4096,1,FIGS,4096,70,60,10,100,,2.3330559000000335,2.3330559000000335,ok
samples,4096,1,RuleFit,4096,70,60,10,100,,7.545211800000004,7.545211800000004,ok
samples,4096,1,HSTree,4096,70,60,10,100,,0.14472319999998717,0.14472319999998717,ok
samples,4096,1,GreedyRuleList,4096,70,60,10,100,,0.07600439999998798,0.07600439999998798,ok
samples,4096,2,RFR,4096,70,60,10,100,10000,0.6174652000000265,0.6174652000000265,ok
samples,4096,2,GPR,4096,70,60,10,100,,0.948230599999988,1.6214087000000177,ok
samples,4096,2,FIGS,4096,70,60,10,100,,2.4132360000000403,2.4132360000000403,ok
samples,4096,2,RuleFit,4096,70,60,10,100,,7.241848300000015,7.241848300000015,ok
samples,4096,2,HSTree,4096,70,60,10,100,,0.1494574999999827,0.1494574999999827,ok
samples,4096,2,GreedyRuleList,4096,70,60,10,100,,0.07277549999997746,0.07277549999997746,ok
samples,4096,3,RFR,4096,70,60,10,100,10000,0.6230062000000203,0.6230062000000203,ok
