dataset_name,repeat_id,fold_id,fold,n_expected_folds,estimator,n_train,n_test,n_original_features,n_transformed_features,accuracy,balanced_accuracy,auroc,mcc,fit_time,predict_time,n_rules,n_conditions,mean_conditions_per_rule,n_literals,mean_literals_per_rule
early_stage_diabetes_risk_prediction,16,0,49,60,RandomFuzzyRules__max_literal_repetitions__1,167,84,16,31,0.8571428571428571,0.8435013262599469,0.8932360742705571,0.6737302626745375,0.015340843703597784,0.00014393916353583336,,,,,
early_stage_diabetes_risk_prediction,16,0,49,60,RandomFuzzyRules__max_literal_repetitions__2,167,84,16,31,0.8571428571428571,0.8435013262599469,0.8932360742705571,0.6737302626745375,0.01570780109614134,0.0001482791267335415,,,,,
early_stage_diabetes_risk_prediction,16,0,49,60,RandomFuzzyRules__max_literal_repetitions__3,167,84,16,31,0.8809523809523809,0.8395225464190981,0.9028514588859418,0.7139899532027205,0.015451312996447086,0.00014188885688781738,,,,,
early_stage_diabetes_risk_prediction,16,1,50,60,RandomFuzzyRules__max_literal_repetitions__1,167,84,16,31,0.8690476190476191,0.873342175066313,0.9051724137931034,0.7153505872788736,0.015677810180932283,0.00014558807015419006,,,,,
early_stage_diabetes_risk_prediction,16,1,50,60,RandomFuzzyRules__max_literal_repetitions__2,167,84,16,31,0.8690476190476191,0.873342175066313,0.9051724137931034,0.7153505872788736,0.015740170143544674,0.00014488911256194115,,,,,
early_stage_diabetes_risk_prediction,16,1,50,60,RandomFuzzyRules__max_literal_repetitions__3,167,84,16,31,0.8690476190476191,0.873342175066313,0.873342175066313,0.7153505872788736,0.015490131918340921,0.00014262879267334938,,,,,
early_stage_diabetes_risk_prediction,16,2,51,60,RandomFuzzyRules__max_literal_repetitions__1,168,83,16,31,0.8313253012048193,0.7830634278002699,0.8609986504723347,0.5949241531695284,0.015527172014117241,0.00014397921040654182,,,,,
early_stage_diabetes_risk_prediction,16,2,51,60,RandomFuzzyRules__max_literal_repetitions__2,168,83,16,31,0.8313253012048193,0.7830634278002699,0.8609986504723347,0.5949241531695284,0.015678801108151674,0.00014196941629052162,,,,,
early_stage_diabetes_risk_prediction,16,2,51,60,RandomFuzzyRules__max_literal_repetitions__3,168,83,16,31,0.8433734939759037,0.8022941970310391,0.8609986504723347,0.6265335973500717,0.015348054934293032,0.0001422576606273651,,,,,
early_stage_diabetes_risk_prediction,17,0,52,60,RandomFuzzyRules__max_literal_repetitions__1,167,84,16,31,0.8095238095238095,0.7559681697612732,0.8222811671087533,0.5382814881567385,0.01544895302504301,0.00014379899948835373,,,,,
