dataset_id,dataset_name,fold,estimator,n_train,n_test,n_original_features,accuracy,f1,auroc,fit_time,predict_time
15,Breast Cancer Wisconsin (Original),2,RandomFuzzyRules__n_candidates__1000,629,70,9,0.9285714285714286,0.8837209302325582,0.9692028985507246,0.009456700063310564,0.0002807999262586236
15,Breast Cancer Wisconsin (Original),2,RandomFuzzyRules__n_candidates__5000,629,70,9,0.9857142857142858,0.9787234042553191,0.9981884057971014,0.03970700001809746,0.0003084000200033188
15,Breast Cancer Wisconsin (Original),2,RandomFuzzyRules__n_candidates__10000,629,70,9,0.9857142857142858,0.9787234042553191,0.9981884057971014,0.08157429995480925,0.00031610007863491774
15,Breast Cancer Wisconsin (Original),2,RandomFuzzyRules__n_candidates__25000,629,70,9,0.9857142857142858,0.9795918367346939,1.0,0.21076340007130057,0.00033710000570863485
15,Breast Cancer Wisconsin (Original),2,RandomFuzzyRules__n_candidates__50000,629,70,9,0.9142857142857143,0.875,0.9918478260869565,0.3915598999010399,0.0003296000650152564
15,Breast Cancer Wisconsin (Original),2,RandomFuzzyRules__n_candidates__100000,629,70,9,0.9714285714285714,0.9583333333333334,0.9981884057971014,0.757503200089559,0.0003470000810921192
15,Breast Cancer Wisconsin (Original),3,RandomFuzzyRules__n_candidates__1000,629,70,9,0.9428571428571428,0.9130434782608695,0.990036231884058,0.008624000009149313,0.00027210009284317493
15,Breast Cancer Wisconsin (Original),3,RandomFuzzyRules__n_candidates__5000,629,70,9,0.9571428571428572,0.9387755102040817,0.9873188405797102,0.03895399998873472,0.0003000999568030238
15,Breast Cancer Wisconsin (Original),3,RandomFuzzyRules__n_candidates__10000,629,70,9,0.9571428571428572,0.9387755102040817,0.9873188405797102,0.0827464999165386,0.00033210008405148983
15,Breast Cancer Wisconsin (Original),3,RandomFuzzyRules__n_candidates__25000,629,70,9,0.9714285714285714,0.9600000000000001,0.9882246376811594,0.20933490002062172,0.000305499997921288
15,Breast Cancer Wisconsin (Original),3,RandomFuzzyRules__n_candidates__50000,629,70,9,0.9714285714285714,0.9600000000000001,0.9882246376811594,0.3947524999966845,0.00035370001569390297
15,Breast Cancer Wisconsin (Original),3,RandomFuzzyRules__n_candidates__100000,629,70,9,0.9571428571428572,0.9411764705882353,0.9891304347826088,0.7745219999924302,0.000367300002835691
15,Breast Cancer Wisconsin (Original),4,RandomFuzzyRules__n_candidates__1000,629,70,9,0.9714285714285714,0.9600000000000001,0.990036231884058,0.009155099978670478,0.00026300002355128527
15,Breast Cancer Wisconsin (Original),4,RandomFuzzyRules__n_candidates__5000,629,70,9,0.9428571428571428,0.923076923076923,0.9981884057971014,0.040753799956291914,0.0002959000412374735
15,Breast Cancer Wisconsin (Original),4,RandomFuzzyRules__n_candidates__10000,629,70,9,0.9428571428571428,0.923076923076923,0.9981884057971014,0.08188119996339083,0.00033730000723153353
15,Breast Cancer Wisconsin (Original),4,RandomFuzzyRules__n_candidates__25000,629,70,9,0.9285714285714286,0.9019607843137256,0.9769021739130435,0.20616970001719892,0.0003608000697568059
15,Breast Cancer Wisconsin (Original),4,RandomFuzzyRules__n_candidates__50000,629,70,9,0.9285714285714286,0.9019607843137256,0.9769021739130435,0.4139188000699505,0.0003307999577373266
15,Breast Cancer Wisconsin (Original),4,RandomFuzzyRules__n_candidates__100000,629,70,9,0.9571428571428572,0.9411764705882353,0.9927536231884058,0.8007764000212774,0.000304599991068244
15,Breast Cancer Wisconsin (Original),5,RandomFuzzyRules__n_candidates__1000,629,70,9,0.9428571428571428,0.9199999999999999,0.9936594202898551,0.011771099991165102,0.0002482000272721052
15,Breast Cancer Wisconsin (Original),5,RandomFuzzyRules__n_candidates__5000,629,70,9,0.9285714285714286,0.8979591836734694,0.9678442028985508,0.057950800051912665,0.00032410002313554287
15,Breast Cancer Wisconsin (Original),5,RandomFuzzyRules__n_candidates__10000,629,70,9,0.9285714285714286,0.8979591836734694,0.9678442028985508,0.08552710001822561,0.00030069996137171984
15,Breast Cancer Wisconsin (Original),5,RandomFuzzyRules__n_candidates__25000,629,70,9,0.9285714285714286,0.8979591836734694,0.9538043478260869,0.21027859998866916,0.00025029992684721947
